charge_1_code,n,relevant_charge,charge_1_code_description
ASF5,1,IMPROPER DISPOSAL,FAILURE TO PLACE BAGGED AND OR BUNDLED REFUSE AND RECY.AT PREDETER.LOC
ASGD,1,IMPROPER DISPOSAL,PROVIDE SINGLE-USE NONCOMPOSTABLE PLASTIC STRAW W O CUSTOMER REQ
ASGJ,1,IMPROPER DISPOSAL,FAIL TO PROVIDE SINGLE-USE NONCOMPOSTABLE PLASTIC STRAW ON REQUEST
ASGP,1,improper signage ,FAIL TO DISPLAY REQUIRED SIGNAGE ABOUT PLASTIC STRAW AVAILABILITY
ASH9,1,remove,ILLEGAL POSTING OF HANDBILL NOTICE
ASJ5,1,remove,REMOVAL TRANSPORT OF RESIDENTIAL RECYCLABLE MATERIAL OPERATOR -1ST
ASK4,1,remove,REMOVAL TRANSPORT OF REFRIGERANT CONTAINING ITEM OPERATOR -1ST
ASK5,1,remove,REMOVAL TRANSPORT OF REFRIGERANT CONTAINING ITEM OPERATOR -2ND
ASK6,1,remove,REMOVAL TRANSPORT OF REFRIGERANT CONTAINING ITEM OPERATOR -3RD
ASK7,1,remove,REMOVAL TRANSPORT OF DEPARTMENT-MARKED ITEM OPERATOR -1ST
ASL4,1,remove,REMOVAL TRANSPORT OF COMMERCIAL RECYCLABLE MATERIAL OPERATOR - 1ST
ASL5,1,remove,REMOVAL TRANSPORT OF COMMERCIAL RECYCLABLE MATERIAL OPERATOR -2ND
ASL6,1,remove,REMOVAL TRANSPORT OF RESIDENTIAL RECYCLABLE MATERIAL OWNER -1ST
ASL9,1,remove,REMOVAL TRANSPORT OF REFRIGERANT CONTAINING ITEM OWNER -1ST
ASM3,1,remove,REMOVAL TRANSPORT OF DEPARTMENT-MARKED ITEM OWNER -1ST
ASN6,1,remove,REMOVAL TRANSPORT OF COMMERICAL RECYCLABLE MATERIAL OWNER -1ST
ASP2,1,storage receptacles,UNCOVERED RECEPTACLES 2ND OFFENSE
ASP3,1,storage receptacles,UNCOVERED RECEPTACLES 3RD OFFENSE
ASP5,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL BEDDING 2ND OFFENSE
ASP6,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL BEDDING 3RD OFFENSE
ASP8,1,IMPROPER DISPOSAL,IMPROPER RECEPTACLES 2ND OFFENSE
ASP9,1,IMPROPER DISPOSAL,IMPROPER RECEPTACLES 3RD OFFENSE
ASQ5,1,remove,USING VEHICLE TO ACCEPT RECEIVE COLLECT BULK RECYCLABLES-OPERATOR
ASQ6,1,remove,USING VEHICLE TO ACCEPT RECEIVE COLLECT BULK RECYCLABLES-OWNER
ASR4,1,FAILURE TO RECYCLE,FAILURE TO RECYCLE ORGANICS STADIUM 1ST
ASR8,1,FAILURE TO RECYCLE,FAILURE TO RECYCLE ORGANICS HOTEL 2ND
ASR9,1,FAILURE TO RECYCLE,FAILURE TO RECYCLE ORGANICS HOTEL 3RD+
ASS1,1,FAILURE TO RECYCLE,"FAILURE TO RECYCLE ORGANICS FOOD MANUFACTURE 25,000 SQUARE FEET 1ST"
ASS2,1,FAILURE TO RECYCLE,"FAILURE TO RECYCLE ORGANICS FOOD MANUFACTURE 25,000 SQUARE FEET 2ND"
ASS3,1,FAILURE TO RECYCLE,"FAILURE TO RECYCLE ORGANICS FOOD MANUFACTURE 25,000 SQUARE FEET 3RD+"
ASS4,1,FAILURE TO RECYCLE,"FAILURE TO RECYCLE ORGANICS FOOD WHOLESALER 20,000 SQUARE FEET 1ST"
ASS5,1,FAILURE TO RECYCLE,"FAILURE TO RECYCLE ORGANICS FOOD WHOLESALER 20,000 SQUARE FEET 2ND"
ASS6,1,FAILURE TO RECYCLE,"FAILURE TO RECYCLE ORGANICS FOOD WHOLESALER 20,000 SQUARE FEET 3RD+"
AST7,1,remove,FAIL NOTIFY DSNY REGARDING ONSITE ORGANIC WASTE PROCESSING EQUIPMENT 1
ASU1,1,improper signage ,ORGANICS CONTAINERS NOT LABELLED 1ST
ASU2,1,improper signage ,ORGANICS CONTAINERS NOT LABELLED 2ND
ASU3,1,improper signage ,ORGANICS CONTAINERS NOT LABELLED 3RD+
ASU7,1,IMPROPER DISPOSAL,ORGANICS PLACED OUT FOR COLLECTION IN CONTAINER W O LATCHING DEVICE 1
ASV1,1,IMPROPER DISPOSAL,ORGANICS IN STORAGE AREA PLACED IN A CONTAINER W O LATCHING DEVICE 1ST
ASV4,1,improper signage ,FAILURE TO POST PRIVATE CARTER STICKER ORGANICS 1ST
ASV5,1,improper signage ,FAILURE TO POST PRIVATE CARTER STICKER ORGANICS 2ND
ASV6,1,improper signage ,FAILURE TO POST PRIVATE CARTER STICKER ORGANICS 3RD+
ASW4,1,improper signage ,FAILURE TO POST SIGNAGE IN ORGANICS COLLECTION AREAS 1ST
ASW5,1,improper signage ,FAILURE TO POST SIGNAGE IN ORGANICS COLLECTION AREAS 2ND
ASW6,1,improper signage ,FAILURE TO POST SIGNAGE IN ORGANICS COLLECTION AREAS 3RD+
ASY0,1,IMPROPER DISPOSAL,IMPROPER RECEPTACLE FOR YARD WASTE RESIDENT-9 OR MORE DWELLING UNITS 1
ASY4,1,IMPROPER DISPOSAL,IMPROPER DISPERSAL OF YARD WASTE BUSINESS GENERATING YARD WASTE 1ST
ASY7,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL OF YARD WASTE BUSINESS GENERATING YARD WASTE 1ST
ASZ1,1,IMPROPER DISPOSAL,IMPROPER RECEPTACLE FOR YARD WASTE RESIDENT- 1 TO 8 DWELLING UNITS 1ST
ASZ6,1,storage receptacles,INSUFFICIENT RECEPTACLES 3RD OFFENSE
ASZ9,1,storage receptacles,BROKEN RECEPTACLES 3RD OFFENSE
AT12,1,dirty sidewalk,FAILURE TO PROVIDE WORKING PUBLIC PAY TELEPHONE OPERATOR SERVICES
AT13,1,dirty sidewalk,FAILED TO CLEAN MAINTAIN PUBLIC PAY TELEPHONE AS PER REQMNTS OF SUBSEC
AV01,1,adandoned vehicle,ABANDONING VEHICLE
AV02,1,remove,ILLEGAL PLACEMENT POSTERS STICKERS ON WINDSHIELDS WIPERS ON VEHICLES
AW44,1,remove,ILLEGAL USE OF HYDRANT S
AW51,1,remove,FAILED TO INSTALL A BACKFLOW PREVENTER
AW55,1,remove,FAILED TO RETURN METER PERMIT
AX25,1,remove,OPEN CONTAINER CONSUMPTION OF ALCOHOL ON STREETS
AX26,1,remove,BUSINESS UTILIZING MOTORIZED SCOOTER ALLOWING EMPLOYEE TO OPERATE 1ST
AZ98,1,remove,"UNSPECIFIED LAW, CODE OR REGULATION"
AZ99,1,remove,"UNCODED LAW, RULE, OR REGULATION"
NA,1,remove,NA
